Name,Rating,Reviews,Category,Address,city,country,pluscode,Website,Phone,Url
Avadh Family Restaurant,4.3,"2,914",Family restaurant,"Market Yard Rd, near Ram Enterprises, Amreli Irrigation Division, Manekpara, Amreli, Gujarat 365601",Amreli,Gujarat,J629+JP,NA,02792 228 172,https://www.google.com/maps/place/Avadh+Family+Restaurant/data=!4m7!3m6!1s0x395880c121a41167:0x901bfc63c7ce4de0!8m2!3d21.6015199!4d71.2193223!16s%2Fg%2F1262wxfdc!19sChIJZxGkIcGAWDkR4E3Ox2P8G5A?authuser=0&hl=en&rclk=1
"Radhika Garden Restaurant || Best Restaurant, Veg Restaurant, Garden Restaurant, Fast Food Restaurant",4.2,"1,790",Restaurant,"petrol pump, Bypass Circle, Near, Lathi Rd, opp. IBP) Gurudat, Amreli, Gujarat 365601",Amreli,Gujarat,J67V+79,NA,099090 92411,"https://www.google.com/maps/place/Radhika+Garden+Restaurant+%7C%7C+Best+Restaurant,+Veg+Restaurant,+Garden+Restaurant,+Fast+Food+Restaurant/data=!4m7!3m6!1s0x39588128f228403d:0x897fb9c8bc8cb9f6!8m2!3d21.6131264!4d71.24343!16s%2Fg%2F11c5b2yhtm!19sChIJPUAo8iiBWDkR9rmMvMi5f4k?authuser=0&hl=en&rclk=1"
Thakar Thal Amreli Is Now Ravi's Thal,4.2,"2,004",Gujarati restaurant,"Rajkamal Chowk, Parek Chamber, Nagnath Rd, Amreli, Gujarat 365601",Amreli,Gujarat,J628+CC,NA,02792 224 499,https://www.google.com/maps/place/Thakar+Thal+Amreli+Is+Now+Ravi%27s+Thal/data=!4m7!3m6!1s0x395880c0a073a8ab:0x64646488628630f0!8m2!3d21.6011203!4d71.2160993!16s%2Fg%2F11c5hkf9ns!19sChIJq6hzoMCAWDkR8DCGYohkZGQ?authuser=0&hl=en&rclk=1
Food Paradise / Kastbhanjan Kathiyawadi,4.4,278,Restaurant,"Lathi Rd, opp. Lalavav Hanuman Ji Temple, Bhav Nagar, Amreli, Gujarat 365601",Amreli,Gujarat,J792+26,NA,NA,https://www.google.com/maps/place/Food+Paradise+%2F+Kastbhanjan+Kathiyawadi/data=!4m7!3m6!1s0x39588134e1b4cac3:0xf53714b1b72562e2!8m2!3d21.6176023!4d71.2505214!16s%2Fg%2F11k40x0gkd!19sChIJw8q04TSBWDkR4mIlt7EUN_U?authuser=0&hl=en&rclk=1
CHECKMATE FAMILY RESTAURANT - Best Restaurant In Amreli,4.5,36,Restaurant,"oposite, Avadh dairy, Sardar complex, baypass road, Amreli, Gujarat 365601",Amreli,Gujarat,J62Q+47,NA,087996 02300,https://www.google.com/maps/place/CHECKMATE+FAMILY+RESTAURANT+-+Best+Restaurant+In+Amreli/data=!4m7!3m6!1s0x39588107f9680319:0xb1cdfc68d95aa245!8m2!3d21.6003308!4d71.2382018!16s%2Fg%2F11vb6313zt!19sChIJGQNo-QeBWDkRRaJa2Wj8zbE?authuser=0&hl=en&rclk=1
MOON LIGHT RESTAURANT,4.5,71,Restaurant,"SHYAM CIRCLE, LILIYA, Amreli Bypass Rd, near DADA BHAGWAN TEMPLE, CHOWKDI, Amreli, Gujarat 365601",Amreli,Gujarat,H6WH+8X,https://moonlightrestaurant.inmyarea.in/,073595 93235,https://www.google.com/maps/place/MOON+LIGHT+RESTAURANT/data=!4m7!3m6!1s0x395881e624491131:0x21a35870b4001b7!8m2!3d21.5957899!4d71.2299797!16s%2Fg%2F11t_j4y3wz!19sChIJMRFJJOaBWDkRtwFAC4c1GgI?authuser=0&hl=en&rclk=1
Narayan Bhojan Gruh,4.2,191,Lunch restaurant,"J629+MRV, Market Yard Rd, D.L.B.Society,Amreli, D.L.B. Society, Amreli, Gujarat 365601",Amreli,NA,NA,NA,NA,https://www.google.com/maps/place/Narayan+Bhojan+Gruh/data=!4m7!3m6!1s0x395880c1215aa7a3:0x57f18adafa64bb47!8m2!3d21.6017396!4d71.2195359!16s%2Fg%2F11dymq7h1l!19sChIJo6daIcGAWDkRR7tk-tqK8Vc?authuser=0&hl=en&rclk=1
Amiras Restaurant Amreli,4.1,996,Restaurant,"Hiramoti chowk, Liliya Road Sukhnathpara Street No 1.5, Amreli, Gujarat 365601",Amreli,Gujarat,H6W9+W3,https://wa.me/message/HT2FLFKYUCRDO1,094298 73772,https://www.google.com/maps/place/Amiras+Restaurant+Amreli/data=!4m7!3m6!1s0x395880bff1fdbb31:0xc707ba446e5e180a!8m2!3d21.597281!4d71.2176945!16s%2Fg%2F11c2j2y0b5!19sChIJMbv98b-AWDkRChhebkS6B8c?authuser=0&hl=en&rclk=1
Lucky Restaurant,4.1,105,Non Vegetarian Restaurant,"Kansara bazaar, Nr Hevan Paan gali, Tower Rd, Gujarat 365601",Amreli,Gujarat,H6X6+HW,NA,NA,https://www.google.com/maps/place/Lucky+Restaurant/data=!4m7!3m6!1s0x395880bef636264f:0x39afc98737befa54!8m2!3d21.5989852!4d71.2123433!16s%2Fg%2F11csq8wc0m!19sChIJTyY29r6AWDkRVPq-N4fJrzk?authuser=0&hl=en&rclk=1
"FOOD ADDA || Best Restaurant, Fast Food Restaurant, Dinner Restaurant, Cafe and Fastfood Restaurant",4.7,71,Restaurant,"Shop No.G-10-11, Mega Mall Complex, Jilla Panchayat Rd, near Rangoli Ice Cream, Amreli Irrigation Division, D.L.B. Society, Amreli, Gujarat 365601",Amreli,Gujarat,J638+5X,https://www.foodaddaindia.com/,093130 94565,"https://www.google.com/maps/place/FOOD+ADDA+%7C%7C+Best+Restaurant,+Fast+Food+Restaurant,+Dinner+Restaurant,+Cafe+and+Fastfood+Restaurant/data=!4m7!3m6!1s0x3958814ac2e8e91f:0x3f717dc4f879e8e7!8m2!3d21.6028856!4d71.2174404!16s%2Fg%2F11vhd0w31w!19sChIJH-nowkqBWDkR5-h5-MR9cT8?authuser=0&hl=en&rclk=1"
